Word,Document Frequency,Term Frequency,Postings
,0,0,[]
1,18,20,"['ADM 4103', 'PSY 4391', 'PSY 5023', 'PSY 5202', 'PSY 5207', 'PSY 5424', 'PSY 5824', 'PSY 6007', 'PSY 6008', 'PSY 6009', 'PSY 6010', 'PSY 6022', 'PSY 6032', 'PSY 6042', 'PSY 6145', 'PSY 6167', 'PSY 6945', 'PSY 6991']"
1300,1,1,['MAT 1308']
1340,1,1,['ADM 2342']
15th,1,1,['ADM 3317']
19th,1,1,['ADM 3317']
2,13,36,"['ADM 4103', 'PSY 4276', 'PSY 4391', 'PSY 5202', 'PSY 5207', 'PSY 5424', 'PSY 5824', 'PSY 6042', 'PSY 6145', 'PSY 6167', 'PSY 6945', 'PSY 6991', 'MAT 1325']"
2116,1,1,['PSY 2106']
2342,1,1,['ADM 3340']
23812781,1,1,['ADM 4103']
2d,1,1,['CSI 4130']
3,7,9,"['ADM 3357', 'ADM 4103', 'ADM 4357', 'PSY 6145', 'PSY 6945', 'MAT 1325', 'CSI 9998']"
30,8,8,"['PSY 5023', 'PSY 6007', 'PSY 6008', 'PSY 6009', 'PSY 6010', 'PSY 6022', 'PSY 6032', 'MAT 6997']"
3175,1,1,['MAT 4175']
33,1,1,['ADM 4103']
3340,1,1,['ADM 2342']
3d,2,2,"['CSI 4130', 'CSI 5147']"
4,3,3,"['PSY 6145', 'PSY 6945', 'CSI 9998']"
40,1,1,['MAT 6997']
4000,1,1,['ADM 4103']
4th,1,1,['CSI 1308']
4u,1,2,['MAT 1339']
5,2,2,"['PSY 6145', 'PSY 6945']"
5001,2,2,"['MAT 5144', 'CSI 5113']"
5002,2,2,"['MAT 5149', 'CSI 5128']"
5003,2,2,"['MAT 5122', 'CSI 5308']"
5004,1,1,['CSI 5134']
5005,1,1,['MAT 5127']
5007,2,3,"['MAT 5125', 'CSI 5149']"
5008,2,2,"['MAT 5126', 'CSI 5164']"
5009,1,1,['MAT 5121']
5100,1,1,['CSI 5180']
5101,1,1,['CSI 5311']
5102,2,2,"['MAT 5148', 'CSI 5312']"
5103,2,2,"['MAT 5146', 'CSI 5148']"
5104,2,2,"['MAT 5143', 'CSI 5314']"
5105,2,3,"['MAT 9908', 'MAT 9909']"
5106,1,1,['MAT 5145']
5107,4,5,"['MAT 5141', 'MAT 9908', 'MAT 9909', 'CSI 5185']"
5108,2,2,"['MAT 5147', 'CSI 5126']"
5109,1,1,['MAT 5142']
5110,1,1,['CSI 5136']
5111,1,1,['CSI 5153']
5112,1,1,['CSI 5154']
5124,1,1,['CSI 5151']
5125,2,3,"['MAT 9900', 'MAT 9901']"
5126,2,3,"['MAT 9900', 'MAT 9901']"
5131,4,6,"['MAT 9906', 'MAT 9907', 'CSI 5149', 'CSI 7131']"
5133,2,3,"['MAT 9906', 'MAT 9907']"
5141,2,3,"['MAT 9902', 'MAT 9903']"
5142,3,4,"['MAT 9902', 'MAT 9903', 'CSI 5142']"
5149,1,1,['CSI 5149']
5151,3,4,"['MAT 9904', 'MAT 9905', 'CSI 5151']"
5152,2,3,"['MAT 9904', 'MAT 9905']"
5169,1,1,['CSI 5169']
5170,2,3,"['MAT 9910', 'MAT 9911']"
5171,2,3,"['MAT 9910', 'MAT 9911']"
5175,1,2,['CSI 5175']
5190,2,3,"['MAT 9912', 'MAT 9913']"
5191,2,3,"['MAT 9912', 'MAT 9913']"
5201,2,2,"['MAT 5150', 'CSI 5147']"
5202,1,1,['MAT 5168']
5203,1,1,['CSI 5173']
5204,2,2,"['CSI 5124', 'CSI 5151']"
5205,2,3,"['MAT 5151', 'CSI 5151']"
5206,2,2,"['MAT 5152', 'CSI 5183']"
5207,2,2,"['MAT 5169', 'CSI 5112']"
5208,1,1,['MAT 5155']
5209,1,1,['CSI 5135']
5210,1,1,['CSI 5167']
5300,1,1,['MAT 5160']
5301,2,2,"['MAT 5161', 'CSI 5122']"
5302,1,1,['CSI 5118']
5304,1,1,['CSI 5169']
5305,2,2,"['MAT 5163', 'CSI 5129']"
5306,3,3,"['MAT 5164', 'CSI 5100', 'CSI 5142']"
5307,1,1,['CSI 5101']
5308,1,1,['CSI 5102']
5309,1,1,['CSI 5168']
5310,1,1,['CSI 5152']
5360,1,1,['ADM 5361']
5380,1,2,['CSI 5380']
5401,1,1,['CSI 5389']
5402,2,3,"['CSI 5142', 'CSI 5146']"
5403,1,1,['MAT 5187']
5405,2,2,"['MAT 5131', 'CSI 5380']"
5406,2,2,"['MAT 5133', 'CSI 5105']"
5407,2,2,"['MAT 5134', 'CSI 5116']"
5408,2,2,"['MAT 5185', 'CSI 5121']"
5409,1,1,['CSI 5127']
