word,frequency
said,52900
mln,25565
dlrs,20563
reuter,18914
pct,17067
vs,14584
year,11891
billion,10257
would,9256
us,9074
cts,8859
company,8236
bank,6719
new,6471
inc,6443
net,6063
last,5884
one,5689
corp,5586
market,5475
stock,5192
also,5173
loss,5015
shares,4961
two,4871
share,4658
trade,4322
co,4100
shr,4094
may,3828
oil,3784
sales,3739
first,3694
april,3652
debt,3544
government,3538
banks,3525
exchange,3385
march,3345
profit,3177
three,3145
per,3126
price,3082
prices,3076
interest,2918
told,2907
group,2901
foreign,2880
dlr,2870
international,2846
rate,2839
years,2812
agreement,2777
could,2760
ltd,2720
tonnes,2674
quarter,2671
securities,2649
five,2621
tax,2613
week,2572
president,2554
expected,2536
february,2449
month,2374
revs,2367
due,2360
total,2329
dollar,2316
japan,2283
today,2270
common,2250
offer,2221
added,2201
january,2180
financial,2163
economic,2163
production,2133
rates,2093
board,2088
trading,2073
rose,2069
japanese,2059
end,2053
increase,2046
meeting,2015
officials,1997
current,1996
made,1980
spokesman,1978
capital,1966
six,1961
earlier,1925
world,1906
four,1904
months,1903
record,1890
issue,1868
major,1844
industry,1834
time,1823
business,1819
system,1818
markets,1815
companies,1796
sources,1790
investment,1786
american,1779
next,1762
official,1757
federal,1755
growth,1748
chairman,1740
finance,1734
countries,1716
general,1699
note,1684
credit,1676
rise,1673
nine,1672
national,1650
commission,1634
statement,1626
since,1621
united,1601
unit,1591
cash,1587
minister,1587
west,1583
states,1582
yen,1578
state,1574
analysts,1569
exports,1559
stg,1559
term,1547
pay,1531
agreed,1528
report,1524
loan,1517
earnings,1516
june,1513
plan,1504
products,1503
period,1489
department,1456
central,1433
fell,1428
budget,1427
sale,1419
long,1416
operations,1414
set,1399
money,1390
cut,1388
companys,1384
program,1367
based,1358
compared,1344
public,1341
export,1340
lower,1333
high,1314
december,1313
currency,1304
reported,1299
take,1295
offering,1293
announced,1290
higher,1290
domestic,1286
loans,1282
plans,1280
day,1268
deficit,1263
development,1262
non,1260
management,1253
around,1252
bond,1250
buy,1249
ec,1246
talks,1231
shareholders,1231
ago,1228
contract,1228
house,1218
yesterday,1216
however,1201
annual,1194
policy,1188
seven,1185
make,1182
subsidiary,1181
european,1173
union,1171
economy,1168
lead,1166
york,1163
assets,1154
including,1150
dealers,1147
part,1145
oper,1144
committee,1138
terms,1137
owned,1131
ended,1125
demand,1124
ministry,1119
outstanding,1118
gas,1115
proposed,1114
futures,1108
avg,1105
imports,1104
investors,1102
shrs,1094
prior,1091
still,1091
recent,1085
used,1071
commercial,1069
early,1069
treasury,1065
sold,1064
bonds,1062
reuters,1058
income,1049
sell,1043
wheat,1041
canadian,1036
includes,1034
