,"{'course': 0.10542168674698796, 'introduction': 0.03765060240963856, 'topics': 0.02108433734939759, 'entrepreneurial': 0.0015060240963855422, 'focus': 0.010542168674698794, 'concepts': 0.009036144578313253, 'policies': 0.0015060240963855422, 'financial': 0.0015060240963855422, 'key': 0.0015060240963855422, 'develop': 0.0015060240963855422, 'stage': 0.007530120481927711, 'nature': 0.004518072289156626, 'study': 0.018072289156626505, 'advanced': 0.02108433734939759, 'ideation': 0.0015060240963855422, 'main': 0.0030120481927710845, 'examines': 0.0015060240963855422, 'diagnostic': 0.0015060240963855422, 'synthesis': 0.0030120481927710845, 'review': 0.02108433734939759, 'theory': 0.009036144578313253, 'indepth': 0.006024096385542169, 'theories': 0.007530120481927711, 'economic': 0.0015060240963855422, 'continuation': 0.0030120481927710845, 'provides': 0.0015060240963855422, 'definition': 0.004518072289156626, 'credit': 0.0015060240963855422, 'markets': 0.0030120481927710845, 'modern': 0.0015060240963855422, 'students': 0.004518072289156626, 'international': 0.006024096385542169, 'foundation': 0.0015060240963855422, 'assess': 0.0015060240963855422, 'emerging': 0.0015060240963855422, 'systemic': 0.0015060240963855422, 'seminars': 0.016566265060240965, 'preparation': 0.004518072289156626, 'exposure': 0.0015060240963855422, 'overview': 0.01355421686746988, 'brief': 0.004518072289156626, 'strategic': 0.006024096385542169, 'innovation': 0.0015060240963855422, 'corporate': 0.0015060240963855422, 'stages': 0.0015060240963855422, 'capstone': 0.0015060240963855422, 'highly': 0.0015060240963855422, 'internet': 0.0015060240963855422, 'personal': 0.0015060240963855422, 'organizations': 0.0015060240963855422, 'integrative': 0.0030120481927710845, 'cases': 0.0015060240963855422, 'discussions': 0.0015060240963855422, 'gives': 0.0015060240963855422, 'integrates': 0.0015060240963855422, 'information': 0.0015060240963855422, 'covers': 0.0030120481927710845, 'securities': 0.0030120481927710845, 'derivatives': 0.004518072289156626, 'foreign': 0.0015060240963855422, 'ethical': 0.0015060240963855422, 'nontraditional': 0.0015060240963855422, 'current': 0.004518072289156626, 'networking': 0.0015060240963855422, 'implementation': 0.0015060240963855422, 'work': 0.0015060240963855422, 'internship': 0.0030120481927710845, 'predictive': 0.0015060240963855422, 'student': 0.006024096385542169, 'managerial': 0.0015060240963855422, 'working': 0.0015060240963855422, 'marketing': 0.0015060240963855422, 'human': 0.0015060240963855422, 'conceptual': 0.0030120481927710845, 'cost': 0.0015060240963855422, 'canadian': 0.0015060240963855422, 'consumer': 0.0015060240963855422, 'national': 0.0015060240963855422, 'top': 0.0015060240963855422, 'quantitative': 0.0030120481927710845, 'project': 0.006024096385542169, 'business': 0.004518072289156626, 'planning': 0.0015060240963855422, 'reduction': 0.0015060240963855422, 'analysis': 0.006024096385542169, 'basic': 0.009036144578313253, 'allows': 0.0015060240963855422, 'principles': 0.010542168674698794, 'research': 0.006024096385542169, 'relationship': 0.0030120481927710845, 'behavioural': 0.0030120481927710845, 'assessment': 0.006024096385542169, 'formulation': 0.0030120481927710845, 'contingency': 0.0015060240963855422, 'changing': 0.0015060240963855422, 'equity': 0.0015060240963855422, 'accounting': 0.0015060240963855422, 'understanding': 0.0015060240963855422, 'qualitative': 0.0015060240963855422, 'elements': 0.0030120481927710845, 'design': 0.010542168674698794, 'legal': 0.0015060240963855422, 'importance': 0.0015060240963855422, 'management': 0.0015060240963855422, 'common': 0.0015060240963855422, 'efficient': 0.0015060240963855422, 'seminar': 0.006024096385542169, 'every': 0.0015060240963855422, 'fundamentals': 0.0030120481927710845, 'object': 0.0015060240963855422, 'heredity': 0.0015060240963855422, 'physical': 0.0030120481927710845, 'descriptive': 0.0030120481927710845, 'social': 0.0015060240963855422, 'developmental': 0.0015060240963855422, 'statistical': 0.0030120481927710845, 'methodology': 0.0015060240963855422, 'examination': 0.015060240963855422, 'psychology': 0.0015060240963855422, 'verbal': 0.0015060240963855422, 'learning': 0.0015060240963855422, 'problem': 0.0015060240963855422, 'theoretical': 0.004518072289156626, 'fundamental': 0.006024096385542169, 'relationships': 0.0015060240963855422, 'selection': 0.0015060240963855422, 'psychological': 0.0015060240963855422, 'language': 0.0015060240963855422, 'empirical': 0.0015060240963855422, 'neural': 0.0015060240963855422, 'major': 0.0030120481927710845, 'rationale': 0.0015060240963855422, 'development': 0.010542168674698794, 'readings': 0.0015060240963855422, 'sexual': 0.0015060240963855422, 'construction': 0.0015060240963855422, 'philosophical': 0.0015060240963855422, 'history': 0.0015060240963855422, 'animal': 0.0015060240963855422, 'physiological': 0.0015060240963855422, 'lectures': 0.0015060240963855422, 'completion': 0.0015060240963855422, 'sleep': 0.0015060240963855422, 'roles': 0.0015060240963855422, 'practical': 0.01355421686746988, 'critical': 0.018072289156626505, 'integration': 0.0015060240963855422, 'contemporary': 0.0030120481927710845, 'general': 0.007530120481927711, 'guidance': 0.0015060240963855422, 'conception': 0.0030120481927710845, 'historical': 0.006024096385542169, 'survey': 0.0030120481927710845, 'constructs': 0.0030120481927710845, 'patterns': 0.0030120481927710845, 'issues': 0.007530120481927711, 'use': 0.0030120481927710845, 'recent': 0.0030120481927710845, 'epistemological': 0.0030120481927710845, 'seminarstutorials': 0.004518072289156626, 'systematic': 0.0015060240963855422, 'normal': 0.0030120481927710845, 'psychosocial': 0.0030120481927710845, 'phases': 0.0015060240963855422, 'selected': 0.025602409638554216, 'comprehensive': 0.0015060240963855422, 'seminartutorial': 0.0015060240963855422, 'sociohistorical': 0.0015060240963855422, 'sujets': 0.0030120481927710845, 'concept': 0.004518072289156626, 'core': 0.0030120481927710845, 'sociocultural': 0.0015060240963855422, 'directed': 0.0030120481927710845, 'solution': 0.0015060240963855422, 'sequences': 0.0015060240963855422, 'polynomial': 0.0015060240963855422, 'intuitive': 0.0015060240963855422, 'improper': 0.0015060240963855422, 'second': 0.0015060240963855422, 'integrals': 0.0015060240963855422, 'instantaneous': 0.0015060240963855422, 'probability': 0.006024096385542169, 'vector': 0.0030120481927710845, 'groups': 0.0030120481927710845, 'extrema': 0.0015060240963855422, 'quick': 0.0015060240963855422, 'euclidean': 0.0015060240963855422, 'concise': 0.0015060240963855422, 'metric': 0.0015060240963855422, 'complex': 0.0015060240963855422, 'systems': 0.0015060240963855422, 'rings': 0.0015060240963855422, 'sets': 0.0015060240963855422, 'series': 0.0015060240963855422, 'trees': 0.0015060240963855422, 'formal': 0.0030120481927710845, 'multivariate': 0.0030120481927710845, 'distribution': 0.0030120481927710845, 'time': 0.0015060240963855422, 'roots': 0.0030120481927710845, 'banach': 0.0030120481927710845, 'modelling': 0.0030120481927710845, 'noetherian': 0.0030120481927710845, 'structure': 0.0015060240963855422, 'group': 0.0030120481927710845, 'linear': 0.0030120481927710845, 'topological': 0.0030120481927710845, 'manifolds': 0.0015060240963855422, 'covering': 0.0030120481927710845, 'laws': 0.0030120481927710845, 'limit': 0.0030120481927710845, 'tensor': 0.0015060240963855422, 'representation': 0.0030120481927710845, 'paths': 0.0030120481927710845, 'principle': 0.0015060240963855422, 'discriminant': 0.0015060240963855422, 'simulation': 0.0015060240963855422, 'multiway': 0.0015060240963855422, 'optimization': 0.0015060240963855422, 'network': 0.0015060240963855422, 'ordinary': 0.0015060240963855422, 'one': 0.0015060240963855422, 'firstorder': 0.0015060240963855422, 'prime': 0.0015060240963855422, 'foundations': 0.0015060240963855422, 'brownian': 0.0015060240963855422, 'pure': 0.0015060240963855422, 'floating': 0.0015060240963855422, 'visualization': 0.0015060240963855422, 'resampling': 0.0015060240963855422, 'asymptotic': 0.0015060240963855422, 'confidence': 0.0015060240963855422, 'unequal': 0.0015060240963855422, 'markov': 0.0015060240963855422, 'space': 0.0015060240963855422, 'lossless': 0.0015060240963855422, 'projectoriented': 0.0015060240963855422, 'exam': 0.01957831325301205, 'cet': 0.0015060240963855422, 'syllabus': 0.0015060240963855422, 'computing': 0.0015060240963855422, 'discrete': 0.0015060240963855422, 'presentation': 0.0015060240963855422, 'differences': 0.0015060240963855422, 'professionalism': 0.0015060240963855422, 'regular': 0.0015060240963855422, 'recursive': 0.0015060240963855422, 'notion': 0.0015060240963855422, 'computational': 0.004518072289156626, 'communication': 0.0015060240963855422, 'dna': 0.0015060240963855422, 'interactive': 0.0015060240963855422, 'security': 0.0030120481927710845, 'models': 0.0015060240963855422, 'big': 0.0015060240963855422, 'onesemester': 0.0015060240963855422, 'materialized': 0.0015060240963855422, 'kr': 0.0015060240963855422, 'introductory': 0.0015060240963855422, 'methodologies': 0.0015060240963855422, 'software': 0.0015060240963855422, 'dimensional': 0.0015060240963855422, 'specialized': 0.0015060240963855422, 'simple': 0.0015060240963855422, 'collective': 0.0015060240963855422, 'multiprocessor': 0.0015060240963855422, 'hardware': 0.0015060240963855422, 'link': 0.0015060240963855422, 'selforganized': 0.0015060240963855422, 'bayesian': 0.0015060240963855422, 'convergence': 0.0015060240963855422, 'data': 0.0015060240963855422, 'algorithmic': 0.0015060240963855422, 'distributed': 0.0015060240963855422, 'basis': 0.0015060240963855422, 'mathematical': 0.0015060240963855422, 'wireless': 0.0015060240963855422, 'ecommerce': 0.0015060240963855422, 'computerized': 0.0015060240963855422, 'twosession': 0.0015060240963855422, 'within': 0.0015060240963855422, 'committee': 0.0015060240963855422}"
course,"{'provides': 0.00784313725490196, 'situates': 0.00784313725490196, 'introduces': 0.00784313725490196, 'extends': 0.00392156862745098, 'concepts': 0.00392156862745098, 'includes': 0.027450980392156862, 'concentrates': 0.00392156862745098, 'law': 0.00392156862745098, 'based': 0.00392156862745098, 'integrates': 0.00392156862745098, 'utilizes': 0.00392156862745098, 'strategy': 0.00392156862745098, 'marketing': 0.00392156862745098, 'uses': 0.00392156862745098, 'mix': 0.00392156862745098, 'teams': 0.00392156862745098, 'focuses': 0.00392156862745098, 'focus': 0.00784313725490196, 'recognizes': 0.00392156862745098, 'hrm': 0.00392156862745098, 'present': 0.00392156862745098, 'auditing': 0.00392156862745098, 'emphasizes': 0.00784313725490196, 'completes': 0.00392156862745098, 'explores': 0.00392156862745098, 'draws': 0.00392156862745098, 'highlight': 0.00392156862745098, 'approaches': 0.00392156862745098, 'prepares': 0.00392156862745098, 'limited': 0.00392156862745098, None: 0.0196078431372549, 'presents': 0.00392156862745098, 'allows': 0.00392156862745098, 'divided': 0.00784313725490196, 'sleeping': 0.01568627450980392, 'membrane': 0.00392156862745098, 'integrating': 0.00392156862745098, 'intended': 0.00784313725490196, 'reserved': 0.00392156862745098, 'count': 0.00784313725490196, 'calculus': 0.00392156862745098, 'content': 0.00392156862745098, 'proving': 0.00392156862745098, 'equivalent': 0.6078431372549019, 'mathematical': 0.00392156862745098, 'affording': 0.00392156862745098, 'consultation': 0.00392156862745098, 'mat': 0.054901960784313725, 'graded': 0.054901960784313725, 'data': 0.00392156862745098, 'list': 0.00392156862745098, 'project': 0.00392156862745098, 'requirements': 0.00392156862745098, 'may': 0.00392156862745098}"
provides,"{'student': 0.5, 'general': 0.25, 'handson': 0.25}"
student,"{'basic': 0.07142857142857142, 'learn': 0.07142857142857142, 'appreciation': 0.03571428571428571, 'projects': 0.03571428571428571, 'fundamental': 0.03571428571428571, 'centered': 0.03571428571428571, 'expected': 0.03571428571428571, 'student': 0.07142857142857142, 'receives': 0.07142857142857142, 'determine': 0.07142857142857142, 'select': 0.10714285714285714, None: 0.10714285714285714, 'staff': 0.07142857142857142, 'undertake': 0.03571428571428571, 'write': 0.03571428571428571, 'presentation': 0.03571428571428571, 'teams': 0.03571428571428571, 'least': 0.03571428571428571}"
basic,"{'knowledge': 0.06666666666666667, 'elements': 0.03333333333333333, 'concepts': 0.13333333333333333, 'functions': 0.03333333333333333, 'neuroanatomy': 0.03333333333333333, 'assumptions': 0.03333333333333333, 'intervention': 0.1, 'design': 0.03333333333333333, 'eeg': 0.06666666666666667, 'problems': 0.06666666666666667, 'derivative': 0.03333333333333333, 'trigonometric': 0.03333333333333333, 'counting': 0.03333333333333333, 'probability': 0.03333333333333333, 'graduate': 0.03333333333333333, 'properties': 0.03333333333333333, 'cryptographical': 0.03333333333333333, 'complexity': 0.03333333333333333, 'infrastructure': 0.03333333333333333, 'principles': 0.03333333333333333, 'statistics': 0.03333333333333333, 'combinatorial': 0.03333333333333333}"
knowledge,"{'necessary': 0.09090909090909091, 'management': 0.045454545454545456, 'canadian': 0.045454545454545456, 'healthcare': 0.045454545454545456, 'attained': 0.045454545454545456, 'related': 0.09090909090909091, 'acquired': 0.09090909090909091, 'corporate': 0.045454545454545456, 'pmbok': 0.045454545454545456, 'procedures': 0.045454545454545456, 'analysis': 0.045454545454545456, 'particular': 0.045454545454545456, 'base': 0.045454545454545456, 'field': 0.09090909090909091, 'discovery': 0.045454545454545456, 'knowledge': 0.045454545454545456, 'representation': 0.045454545454545456, 'using': 0.045454545454545456}"
necessary,"{'effectively': 0.5, 'intelligence': 0.25, 'address': 0.25}"
effectively,{'manage': 1.0}
manage,"{'organization': 0.6666666666666666, 'processes': 0.3333333333333333}"
organization,"{'student': 0.05555555555555555, 'accounting': 0.027777777777777776, 'business': 0.027777777777777776, 'including': 0.027777777777777776, 'conjunction': 0.027777777777777776, None: 0.08333333333333333, 'major': 0.027777777777777776, 'design': 0.05555555555555555, 'society': 0.027777777777777776, 'exports': 0.027777777777777776, 'structures': 0.027777777777777776, 'developing': 0.027777777777777776, 'internship': 0.05555555555555555, 'culture': 0.027777777777777776, 'framework': 0.027777777777777776, 'managerial': 0.027777777777777776, 'course': 0.027777777777777776, 'operational': 0.027777777777777776, 'growth': 0.027777777777777776, 'decisionmaking': 0.027777777777777776, 'learning': 0.027777777777777776, 'development': 0.027777777777777776, 'executive': 0.027777777777777776, 'transformation': 0.027777777777777776, 'mammalian': 0.027777777777777776, 'current': 0.027777777777777776, 'purposes': 0.05555555555555555, 'psychology': 0.027777777777777776, 'compilers': 0.027777777777777776, 'basic': 0.027777777777777776}"
learn,"{'constitutes': 0.2857142857142857, 'distinguish': 0.2857142857142857, 'innovate': 0.14285714285714285, 'connect': 0.14285714285714285, 'use': 0.14285714285714285}"
constitutes,{'managers': 1.0}
managers,"{'role': 0.2, 'must': 0.2, None: 0.1, 'face': 0.1, 'policymakers': 0.1, 'need': 0.1, 'shareholders': 0.1, 'marketing': 0.1}"
role,"{'managerial': 0.09090909090909091, 'financial': 0.09090909090909091, 'management': 0.045454545454545456, 'international': 0.045454545454545456, 'precedent': 0.045454545454545456, 'technologies': 0.045454545454545456, 'hr': 0.045454545454545456, 'auditing': 0.045454545454545456, 'accounting': 0.045454545454545456, 'information': 0.09090909090909091, 'organization': 0.045454545454545456, 'production': 0.045454545454545456, 'norms': 0.045454545454545456, 'community': 0.045454545454545456, 'research': 0.045454545454545456, 'delivery': 0.09090909090909091, 'conceptual': 0.045454545454545456, 'xml': 0.045454545454545456}"
managerial,"{'functions': 0.2, 'ethics': 0.2, 'applications': 0.1, 'practice': 0.1, 'planning': 0.1, 'methods': 0.1, 'accounting': 0.1, 'overview': 0.1}"
functions,"{'planning': 0.02702702702702703, 'including': 0.013513513513513514, 'labour': 0.02702702702702703, 'pricing': 0.013513513513513514, 'techniques': 0.02702702702702703, 'strengths': 0.013513513513513514, 'sleep': 0.013513513513513514, 'dreams': 0.013513513513513514, 'attitudes': 0.013513513513513514, 'callosal': 0.02702702702702703, None: 0.02702702702702703, 'psychologists': 0.013513513513513514, 'limits': 0.013513513513513514, 'several': 0.05405405405405406, 'introduction': 0.02702702702702703, 'factoring': 0.013513513513513514, 'logarithms': 0.013513513513513514, 'radian': 0.013513513513513514, 'graphs': 0.013513513513513514, 'pointwise': 0.013513513513513514, 'average': 0.013513513513513514, 'using': 0.013513513513513514, 'model': 0.013513513513513514, 'derivatives': 0.013513513513513514, 'finite': 0.013513513513513514, 'via': 0.013513513513513514, 'two': 0.013513513513513514, 'higher': 0.013513513513513514, 'applications': 0.013513513513513514, 'vectors': 0.013513513513513514, 'mhf4u': 0.013513513513513514, 'relations': 0.02702702702702703, 'equivalence': 0.02702702702702703, 'uniform': 0.013513513513513514, 'principle': 0.013513513513513514, 'convergence': 0.013513513513513514, 'expectation': 0.013513513513513514, 'compactness': 0.013513513513513514, 'modes': 0.013513513513513514, 'integration': 0.013513513513513514, 'countability': 0.013513513513513514, 'distribution': 0.013513513513513514, 'sturmliouville': 0.013513513513513514, 'fourier': 0.013513513513513514, 'variational': 0.013513513513513514, 'rational': 0.02702702702702703, 'advanced': 0.013513513513513514, 'extension': 0.013513513513513514, 'central': 0.02702702702702703, 'partitions': 0.013513513513513514, 'product': 0.013513513513513514, 'asymptotics': 0.013513513513513514, 'course': 0.013513513513513514, 'lp': 0.013513513513513514, 'extensions': 0.013513513513513514, 'sufficiency': 0.013513513513513514, 'best': 0.013513513513513514, 'recursively': 0.013513513513513514, 'trapdoor': 0.013513513513513514, 'pseudorandom': 0.013513513513513514, 'compilers': 0.013513513513513514}"
planning,"{'organizing': 0.044444444444444446, 'transportation': 0.022222222222222223, None: 0.044444444444444446, 'ethical': 0.022222222222222223, 'staffing': 0.022222222222222223, 'implementing': 0.022222222222222223, 'managing': 0.022222222222222223, 'inventory': 0.044444444444444446, 'introduction': 0.044444444444444446, 'procurement': 0.022222222222222223, 'process': 0.044444444444444446, 'financial': 0.022222222222222223, 'destaffing': 0.022222222222222223, 'reporting': 0.022222222222222223, 'monitoring': 0.022222222222222223, 'activities': 0.022222222222222223, 'company': 0.022222222222222223, 'control': 0.08888888888888889, 'product': 0.022222222222222223, 'job': 0.022222222222222223, 'development': 0.06666666666666667, 'design': 0.022222222222222223, 'project': 0.022222222222222223, 'realization': 0.022222222222222223, 'erp': 0.022222222222222223, 'promotional': 0.022222222222222223, 'global': 0.022222222222222223, 'execution': 0.022222222222222223, 'r': 0.022222222222222223, 'financials': 0.022222222222222223, 'layout': 0.022222222222222223, 'problemsolving': 0.022222222222222223, 'evaluation': 0.022222222222222223, 'basics': 0.022222222222222223, 'amidst': 0.022222222222222223}"
organizing,"{'leading': 0.6666666666666666, 'planning': 0.3333333333333333}"
leading,"{'controlling': 0.2857142857142857, 'organizational': 0.14285714285714285, 'representative': 0.14285714285714285, 'written': 0.14285714285714285, 'proofs': 0.14285714285714285, 'writing': 0.14285714285714285}"
controlling,"{'communication': 0.5, 'operations': 0.25, 'plan': 0.25}"
