Word,Document Frequency,Postings
,0,[]
1,18,"[{'course_id': 'ADM 4103', 'doc_id': 55, 'term_frequency': 1}, {'course_id': 'PSY 4391', 'doc_id': 226, 'term_frequency': 1}, {'course_id': 'PSY 5023', 'doc_id': 228, 'term_frequency': 1}, {'course_id': 'PSY 5202', 'doc_id': 242, 'term_frequency': 1}, {'course_id': 'PSY 5207', 'doc_id': 245, 'term_frequency': 1}, {'course_id': 'PSY 5424', 'doc_id': 248, 'term_frequency': 1}, {'course_id': 'PSY 5824', 'doc_id': 251, 'term_frequency': 1}, {'course_id': 'PSY 6007', 'doc_id': 257, 'term_frequency': 1}, {'course_id': 'PSY 6008', 'doc_id': 258, 'term_frequency': 1}, {'course_id': 'PSY 6009', 'doc_id': 259, 'term_frequency': 1}, {'course_id': 'PSY 6010', 'doc_id': 260, 'term_frequency': 1}, {'course_id': 'PSY 6022', 'doc_id': 261, 'term_frequency': 1}, {'course_id': 'PSY 6032', 'doc_id': 262, 'term_frequency': 1}, {'course_id': 'PSY 6042', 'doc_id': 264, 'term_frequency': 2}, {'course_id': 'PSY 6145', 'doc_id': 286, 'term_frequency': 1}, {'course_id': 'PSY 6167', 'doc_id': 296, 'term_frequency': 1}, {'course_id': 'PSY 6945', 'doc_id': 320, 'term_frequency': 1}]"
1300,1,"[{'course_id': 'MAT 1308', 'doc_id': 361, 'term_frequency': 2}]"
1340,1,"[{'course_id': 'ADM 2342', 'doc_id': 14, 'term_frequency': 1}]"
15th,1,"[{'course_id': 'ADM 3317', 'doc_id': 26, 'term_frequency': 1}]"
19th,1,"[{'course_id': 'ADM 3317', 'doc_id': 26, 'term_frequency': 1}]"
2,13,"[{'course_id': 'ADM 4103', 'doc_id': 55, 'term_frequency': 1}, {'course_id': 'PSY 4276', 'doc_id': 219, 'term_frequency': 2}, {'course_id': 'PSY 4391', 'doc_id': 227, 'term_frequency': 3}, {'course_id': 'PSY 5202', 'doc_id': 243, 'term_frequency': 3}, {'course_id': 'PSY 5207', 'doc_id': 246, 'term_frequency': 3}, {'course_id': 'PSY 5424', 'doc_id': 249, 'term_frequency': 3}, {'course_id': 'PSY 5824', 'doc_id': 252, 'term_frequency': 3}, {'course_id': 'PSY 6042', 'doc_id': 265, 'term_frequency': 6}, {'course_id': 'PSY 6145', 'doc_id': 286, 'term_frequency': 1}, {'course_id': 'PSY 6167', 'doc_id': 297, 'term_frequency': 3}, {'course_id': 'PSY 6945', 'doc_id': 320, 'term_frequency': 1}, {'course_id': 'PSY 6991', 'doc_id': 334, 'term_frequency': 6}, {'course_id': 'MAT 1325', 'doc_id': 365, 'term_frequency': 1}]"
2116,1,"[{'course_id': 'PSY 2106', 'doc_id': 174, 'term_frequency': 1}]"
2342,1,"[{'course_id': 'ADM 3340', 'doc_id': 36, 'term_frequency': 1}]"
23812781,1,"[{'course_id': 'ADM 4103', 'doc_id': 55, 'term_frequency': 1}]"
2d,1,"[{'course_id': 'CSI 4130', 'doc_id': 581, 'term_frequency': 1}]"
